エリア,No.,落札日,案件名,機関（発注者名）,落札会社名,落札価格（円）,支店名,電話番号,担当者,メールアドレス,Mazricaコンタクト,アプローチ方法,ステータス,最終接点日,Malme担当,アクション履歴
北海道,79,2025/12/11,一般国道230号洞爺湖町月浦地質調査業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社ユニオン・コンサルタント,10285000,,,,,,,,,,
北海道,80,2026/3/19,函館道路事務所管内 道路附属物点検業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社リージャスト,38340000,,,,,,,,,,
北海道,81,2026/3/19,函館開発建設部管内 道路構造物点検業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社リージャスト,36440000,,,,,,,,,,
北海道,82,2026/3/19,函館道路事務所管内 道路附属物点検業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社リージャスト,42174000,,,,,,,,,,
北海道,83,2025/9/5,堰堤維持の内 冷水トンネル外地質調査業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社レアックス,15884000,,,,,,,,,,
北海道,84,2026/3/5,帯広広尾自動車道 広尾町 楽古川橋詳細設計業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社開発工営社,100180000,,,,,,,,,,
北海道,85,2026/3/5,帯広広尾自動車道 広尾町 楽古構造物詳細設計業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社開発工営社,17780000,,,,,,,,,,
北海道,86,2026/3/11,網走開発建設部管内 樋門ゲート改良設計外業務,国土交通省(MLIT) 北海道開発局 網走開発建設部,株式会社開発工営社,36130000,,,,,,,,,,
北海道,87,2026/3/12,道央圏連絡道路 長沼町 構造物詳細設計業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社開発工営社,23480000,,,,,,,,,,
北海道,88,2026/3/11,網走開発建設部管内 樋門ゲート改良設計外業務,国土交通省(MLIT) 北海道開発局 網走開発建設部,株式会社開発工営社,39743000,,,,,,,,,,
北海道,89,2026/1/16,漁太川排水機場予備設計外業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社開発工営社,34550000,,,,,,,,,,
北海道,90,2026/3/5,帯広広尾自動車道 広尾町 楽古構造物詳細設計業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社開発工営社,17780000,,,,,,,,,,
北海道,91,2026/3/5,帯広広尾自動車道 広尾町 楽古川橋詳細設計業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社開発工営社,100180000,,,,,,,,,,
北海道,92,2026/3/12,道央圏連絡道路 長沼町 構造物詳細設計業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社開発工営社,25828000,,,,,,,,,,
北海道,93,2026/3/5,帯広広尾自動車道 広尾町 楽古川橋詳細設計業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社開発工営社,100180000,,,,,,,,,,
北海道,94,2026/3/5,帯広広尾自動車道 広尾町 楽古構造物詳細設計業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社開発工営社,17780000,,,,,,,,,,
北海道,95,2026/3/12,道央圏連絡道路 長沼町 構造物詳細設計業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社開発工営社,23480000,,,,,,,,,,
北海道,96,2026/3/18,小樽道路事務所管内 道路防災点検業務,国土交通省(MLIT) 北海道開発局 小樽開発建設部,株式会社開発工営社,32527000,,,,,,,,,,
北海道,97,2026/3/5,日高自動車道新ひだか町静内地質調査業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社開発工営社,13600000,,,,,,,,,,
北海道,98,2026/3/18,小樽開発建設部管内 橋梁点検業務,国土交通省(MLIT) 北海道開発局 小樽開発建設部,株式会社開発工営社,60500000,,,,,,,,,,
北海道,99,2026/1/16,漁太川排水機場予備設計外業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社開発工営社,34550000,,,,,,,,,,
北海道,100,2026/3/13,石狩川下流水辺現地調査(環境基図作成)業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社建設技術研究所,64080000,,,,,,,,,,
北海道,101,2026/3/13,堰堤維持の内 漁川ダム管理用制御処理設備更新検討業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社建設技術研究所,21440000,,,,,,,,,,
北海道,102,2026/3/13,雨竜第2ダム常用洪水吐き模型実験検討業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社建設技術研究所,17340000,,,,,,,,,,
北海道,103,2026/3/13,堰堤維持の内 漁川ダム管理用制御処理設備更新検討業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社建設技術研究所,21440000,,,,,,,,,,
北海道,104,2026/3/19,スマートリバースポット(SRS)詳細設計外業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社建設技術研究所,37114000,,,,,,,,,,
北海道,105,2026/3/13,石狩川下流水辺現地調査(環境基図作成)業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社建設技術研究所,64080000,,,,,,,,,,
北海道,106,2026/3/19,滝川道路事務所管内 道路点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,56023000,,,,,,,,,,
北海道,107,2026/3/19,深川道路事務所管内 道路点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,22770000,,,,,,,,,,
北海道,108,2026/2/19,帯広道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社構研エンジニアリング,85000000,,,,,,,,,,
北海道,109,2026/3/12,道央圏連絡道路 長沼町外 長沼南幌構造物詳細設計業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,15930000,,,,,,,,,,
北海道,110,2026/3/12,道央圏連絡道路 長沼町外 道路概略設計業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,16200000,,,,,,,,,,
北海道,111,2026/3/5,札幌道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,76000000,,,,,,,,,,
北海道,112,2026/3/5,札幌道路事務所当別分庁舎管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,51500000,,,,,,,,,,
北海道,113,2026/2/19,帯広道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社構研エンジニアリング,85000000,,,,,,,,,,
北海道,114,2025/12/11,一般国道229号 乙部町 元和法面詳細設計外一連業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社構研エンジニアリング,9250000,,,,,,,,,,
北海道,115,2026/3/18,網走開発建設部管内 道路防災カルテ点検業務,国土交通省(MLIT) 北海道開発局 網走開発建設部,株式会社構研エンジニアリング,58850000,,,,,,,,,,
北海道,116,2026/3/18,網走開発建設部管内 道路防災カルテ点検業務,国土交通省(MLIT) 北海道開発局 網走開発建設部,株式会社構研エンジニアリング,53500000,,,,,,,,,,
北海道,117,2026/3/12,道央圏連絡道路 長沼町外 道路概略設計業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,17820000,,,,,,,,,,
北海道,118,2026/3/12,道央圏連絡道路 長沼町外 長沼南幌構造物詳細設計業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,17523000,,,,,,,,,,
北海道,119,2026/3/17,旭川道路事務所管内外 橋梁点検業務,国土交通省(MLIT) 北海道開発局 旭川開発建設部,株式会社構研エンジニアリング,80300000,,,,,,,,,,
北海道,120,2026/3/17,士別道路事務所管内外 橋梁点検業務,国土交通省(MLIT) 北海道開発局 旭川開発建設部,株式会社構研エンジニアリング,71500000,,,,,,,,,,
北海道,121,2026/3/17,旭川道路事務所管内外 橋梁点検業務,国土交通省(MLIT) 北海道開発局 旭川開発建設部,株式会社構研エンジニアリング,73000000,,,,,,,,,,
北海道,122,2026/3/17,士別道路事務所管内外 橋梁点検業務,国土交通省(MLIT) 北海道開発局 旭川開発建設部,株式会社構研エンジニアリング,65000000,,,,,,,,,,
北海道,123,2026/3/5,札幌道路事務所当別分庁舎管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,51500000,,,,,,,,,,
北海道,124,2026/3/5,札幌道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,83600000,,,,,,,,,,
北海道,125,2026/3/5,札幌道路事務所当別分庁舎管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,51500000,,,,,,,,,,
北海道,126,2026/3/5,札幌道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,76000000,,,,,,,,,,
北海道,127,2026/3/19,滝川道路事務所管内 道路点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,56023000,,,,,,,,,,
北海道,128,2026/3/19,深川道路事務所管内 道路点検業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社構研エンジニアリング,22770000,,,,,,,,,,
北海道,129,2026/3/19,室蘭開発建設部管内道路点検調査業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社構研エンジニアリング,43901000,,,,,,,,,,
北海道,130,2026/3/5,一般国道36号白老町竹浦道路予備設計業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社構研エンジニアリング,36370000,,,,,,,,,,
北海道,131,2026/2/19,帯広道路事務所管内 道路橋点検業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社構研エンジニアリング,85000000,,,,,,,,,,
北海道,132,2025/9/11,一般国道36号白老町道路予備設計業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社構研エンジニアリング,7290000,,,,,,,,,,
北海道,133,2025/12/11,一般国道229号 乙部町 元和法面詳細設計外一連業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社構研エンジニアリング,9250000,,,,,,,,,,
北海道,134,2026/3/5,一般国道235号(高規格幹線道路)静内三石道路3工区用地測量業務,国土交通省(MLIT) 北海道開発局 室蘭開発建設部,株式会社細道コンサルタント,19680000,,,,,,,,,,
北海道,135,2026/3/12,室蘭開発建設部改修25設計業務,国土交通省(MLIT) 北海道開発局,株式会社三輝設計事務所,27697000,,,,,,,,,,
北海道,136,2025/12/9,別海北部地区 別配8号用水路外一連用地調査等業務,国土交通省(MLIT) 北海道開発局 釧路開発建設部,株式会社舟山コンサルタント,9515000,,,,,,,,,,
北海道,137,2026/3/13,雨竜川ダム再生事業 国有林野協議資料作成外業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社森林環境リアライズ,18210000,,,,,,,,,,
北海道,138,2026/3/13,雨竜川ダム再生事業 国有林野協議資料作成外業務,国土交通省(MLIT) 北海道開発局 札幌開発建設部,株式会社森林環境リアライズ,20031000,,,,,,,,,,
北海道,139,2026/2/18,一般国道238号 枝幸町 幌別環境調査外一連業務,国土交通省(MLIT) 北海道開発局 稚内開発建設部,株式会社長大,23551000,,,,,,,,,,
北海道,140,2026/2/18,一般国道238号 枝幸町 幌別環境調査外一連業務,国土交通省(MLIT) 北海道開発局 稚内開発建設部,株式会社長大,21410000,,,,,,,,,,
北海道,141,2026/2/25,小樽道路事務所車庫耐震診断外設計業務,国土交通省(MLIT) 北海道開発局 小樽開発建設部,株式会社田辺構造設計,8380000,,,,,,,,,,
北海道,142,2026/2/25,旭川開発建設部管内施設 耐水診断外業務,国土交通省(MLIT) 北海道開発局 旭川開発建設部,株式会社田辺構造設計,47070000,,,,,,,,,,
北海道,143,2026/3/5,広尾道路事務所管内 覆道点検業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社土木技術コンサルタント,34950000,,,,,,,,,,
北海道,144,2026/2/26,帯広道路事務所管内 ボックスカルバート外点検業務,国土交通省(MLIT) 北海道開発局 帯広開発建設部,株式会社土木技術コンサルタント,39160000,,,,,,,,,,
北海道,145,2026/3/19,八雲道路事務所管内 道路附属物点検業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社東鵬開発,39390000,,,,,,,,,,
北海道,146,2026/2/26,一般国道228号 江差町外 橋梁点検業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社東鵬開発,50920000,,,,,,,,,,
北海道,147,2025/12/11,一般国道227号 北斗市 中山法面詳細設計外一連業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社東鵬開発,14580000,,,,,,,,,,
北海道,148,2026/3/19,八雲道路事務所管内 道路附属物点検業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社東鵬開発,39390000,,,,,,,,,,
北海道,149,2026/2/26,一般国道228号 江差町外 橋梁点検業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社東鵬開発,56012000,,,,,,,,,,
北海道,150,2026/2/26,一般国道228号 江差町外 橋梁点検業務,国土交通省(MLIT) 北海道開発局 函館開発建設部,株式会社東鵬開発,50920000,,,,,,,,,,
